Az,Ax,Ay,CV_Accuracy,CV_Discrimination,CV_Delta,CV_Male_Yes_Rate,CV_Female_Yes_Rate,CV_Mean_Score_Gap,CV_Near_Threshold_Count,All_Folds_Converged,Mean_Fold_Objective,Selected_min_discrimination,Selected_max_delta
0.0,0.01,0.1,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.33231241932054284,0,True,0.0008786151200464271,False,False
0.1,0.01,0.1,0.734375,0.19791666666666669,0.5364583333333333,0.4270833333333333,0.625,0.002925147216477242,6,True,0.03566382418042992,False,False
0.5,0.01,0.1,0.671875,0.32291666666666663,0.34895833333333337,0.34375,0.6666666666666666,0.001063430584566205,1,True,0.03799176811396245,False,False
1.0,0.01,0.1,0.6770833333333334,0.31249999999999994,0.3645833333333334,0.3541666666666667,0.6666666666666666,0.0019124826635002479,4,True,0.04005270328183911,False,False
5.0,0.01,0.1,0.734375,0.05208333333333337,0.6822916666666666,0.2708333333333333,0.3229166666666667,0.0037629847068030853,20,True,0.06193007278135915,False,False
10.0,0.01,0.1,0.796875,0.07291666666666669,0.7239583333333333,0.3333333333333333,0.40625,0.002039585655602194,26,True,0.16169523426617277,False,False
0.0,0.01,0.5,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.3331279316763847,0,True,0.0009701216648992088,False,False
0.1,0.01,0.5,0.9375,0.20833333333333331,0.7291666666666667,0.6041666666666666,0.3958333333333333,0.2614268242369756,0,True,0.09269394288474746,False,False
0.5,0.01,0.5,0.7447916666666666,0.17708333333333331,0.5677083333333333,0.4583333333333333,0.6354166666666666,0.0023097826214615313,21,True,0.14512483402214668,False,False
1.0,0.01,0.5,0.6875,0.29166666666666663,0.39583333333333337,0.375,0.6666666666666666,0.00032308038601802647,11,True,0.1758269810694617,False,False
5.0,0.01,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0005220674000005476,0,True,0.1899669128164895,False,False
10.0,0.01,0.5,0.6822916666666666,0.3020833333333333,0.3802083333333333,0.3333333333333333,0.6354166666666666,0.002329067349936653,10,True,0.22914394982090536,False,False
0.0,0.01,1.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.33322453864850166,0,True,0.0009323734374783248,False,False
0.1,0.01,1.0,0.9322916666666666,0.19791666666666663,0.734375,0.6041666666666666,0.40625,0.2663709823427373,1,True,0.12393697348011909,False,False
0.5,0.01,1.0,0.78125,0.10416666666666663,0.6770833333333334,0.40625,0.5104166666666666,0.009409151144868622,2,True,0.28610792037035737,False,False
1.0,0.01,1.0,0.7552083333333334,0.15625,0.5989583333333334,0.5104166666666666,0.6666666666666666,0.0021232941160459484,1,True,0.32817766458951986,False,False
5.0,0.01,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.005053162772845843,0,True,0.4200951892340501,False,False
10.0,0.01,1.0,0.6822916666666666,0.3020833333333333,0.3802083333333333,0.3645833333333333,0.6666666666666666,0.0012203010642198309,5,True,0.37008850595286846,False,False
0.0,0.01,5.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.33331150560405937,0,True,0.0009863019745973618,False,False
0.1,0.01,5.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.333062181348835,0,True,0.07070975445368782,False,False
0.5,0.01,5.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.3317485387753291,0,True,0.3424468255149297,False,False
1.0,0.01,5.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.32164147012657984,0,True,0.6853175203751842,False,False
5.0,0.01,5.0,0.6822916666666666,0.3020833333333333,0.3802083333333333,0.3645833333333333,0.6666666666666666,0.0011273373157370536,8,True,1.7327474984329345,False,False
10.0,0.01,5.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.000746834311084299,0,True,1.7314422009603025,False,False
0.0,0.01,10.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333224750785286,0,True,0.001009998991920462,False,False
0.1,0.01,10.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.333246695229844,0,True,0.08356120393698366,False,False
0.5,0.01,10.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.32960738670580253,0,True,0.4051517456017428,False,False
1.0,0.01,10.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.3295772693872173,0,True,0.7072395685289226,False,False
5.0,0.01,10.0,0.84375,0.02083333333333337,0.8229166666666666,0.5208333333333334,0.5,0.016775645141288875,6,True,2.436618127399972,True,True
10.0,0.01,10.0,0.703125,0.26041666666666663,0.44270833333333337,0.40625,0.6666666666666666,0.001638124577088007,3,True,3.436118287161418,False,False
