ID,Gender,SAT,Admission,v1,v2,v3,v4,v5,v6,v7,v8,LFR_Score,Predicted_Admission
1,M,1550,Yes,3.052478245721303e-05,0.00031772876986425614,0.00047003161310662513,0.0008049468644230652,0.22531102338532688,0.23347907236608786,0.2697871494562488,0.2697995227355053,0.7236028886742862,Yes
2,M,1560,Yes,2.6299304857279083e-05,0.00027984313547838925,0.0004156600736157395,0.0007159410324121878,0.22237910978491623,0.2309531489158041,0.27070595503997313,0.2745240426854905,0.7258717528463222,Yes
3,M,1570,Yes,2.265484106493527e-05,0.0002464324152532075,0.0003675146116383389,0.0006366670189482327,0.21944747746330587,0.2284151339605009,0.27158102192354205,0.2792830977378181,0.7281419404544693,Yes
4,M,1580,Yes,1.9512083006579985e-05,0.00021697358941950436,0.0003248903226646511,0.0005660741417339016,0.21651752968152316,0.22586645072598419,0.2724124119897527,0.28407615743750775,0.7304138313984917,Yes
5,M,1590,Yes,1.680245811499399e-05,0.00019100401008002163,0.00028716103631006354,0.0005032234284013351,0.21359058507162862,0.22330844685604623,0.27320015187073843,0.28890262523979016,0.7326877006162691,Yes
6,M,1600,Yes,1.4466690813936272e-05,0.00016811454459130296,0.00025377067805057424,0.0004472759834165819,0.21066788681101228,0.22074240311404364,0.27394423975316845,0.29376184239552705,0.7349637290648607,Yes
7,M,850,Yes,0.10135018545952242,0.22572453243636273,0.2517274325792506,0.28817398080624074,0.05527955506561834,0.04903693772602205,0.020857062934885734,0.00785031296328,0.27607454154157957,No
8,M,860,Yes,0.09734396547350288,0.2216305750811655,0.2481616011244902,0.2857311577667975,0.060823146094643774,0.05407444424457417,0.023330416721704265,0.008904693464548535,0.283183253865121,No
9,M,870,Yes,0.09332698054463907,0.2172172341372543,0.24420374146355645,0.282796565569199,0.06680160802857493,0.05952158434068769,0.026049868509701087,0.010082417378107751,0.2907338799672819,No
10,M,880,Yes,0.08930108611756762,0.21247617047523792,0.23983987507627835,0.27934570962254085,0.07322448029725594,0.06538953448217319,0.029029524327979735,0.011393619573031713,0.2987419298222653,No
11,M,890,Yes,0.08526939896074952,0.2074020840923202,0.23505927914547076,0.27535743987561206,0.0800963294204864,0.07168510790789881,0.03228205987397205,0.012848300695954626,0.3072187955021604,No
12,M,900,Yes,0.08123641332451467,0.20199335372787053,0.22985528227504168,0.27081499205122317,0.08741581444691388,0.07840986734306124,0.03581818998868631,0.014456086815607101,0.31617081021224147,Yes
13,M,400,No,0.3051729738533127,0.2522383748030431,0.2345699219891086,0.20727675027138234,0.00036761444827921404,0.0002950898011845049,6.60170406169773e-05,1.3257762555285447e-05,0.14059304770967673,No
14,M,420,No,0.2940663002339705,0.25400554487413585,0.23812808033365476,0.21285628418447256,0.0004648699466209249,0.0003748192276772349,8.628294427205925e-05,1.781822578942381e-05,0.14448377093691478,No
15,M,440,No,0.28317247379600985,0.25561234495578977,0.24157694674014507,0.2184383821725967,0.0005874581837927008,0.00047576896895879704,0.000112693910719612,2.39312436702664e-05,0.14840816632227996,No
16,M,460,No,0.27249697950855395,0.2570545718205361,0.2449092823074804,0.2240145911066231,0.0007418691757604847,0.000603497179180559,0.00014708921307195568,3.211966154375168e-05,0.15236909015002006,No
17,M,480,No,0.26204389955639035,0.2583274418911084,0.24811710566247808,0.2295754083498674,0.0009362231987866998,0.000764990566034357,0.00019185048524225507,4.30802638880926e-05,0.15637096272551454,No
18,M,500,No,0.2518158257433465,0.25942531943341224,0.2511914037927892,0.23510996127495212,0.0011806687699866983,0.0009690217391854699,0.00025005847906921013,5.774074131610208e-05,0.16042014410516456,No
19,M,520,No,0.2418137629440034,0.260341381396483,0.25412176763864064,0.24060559513848606,0.0014878727204068513,0.0012265916076569182,0.000325693654026062,7.733487426299982e-05,0.16452539690176435,No
20,M,540,No,0.23203702139828697,0.26106720614013973,0.25689593600476274,0.24604734699435862,0.0018736210560750582,0.0015514748127037413,0.0004238920580102648,0.00010350150955619674,0.1686984555058494,No
21,M,560,No,0.2224830959370955,0.2615922714087011,0.25949922855057483,0.25141727886102716,0.002357551597029665,0.0019608886862220944,0.0005512704756714201,0.0001384144575189289,0.17295472412455798,No
22,M,580,No,0.2131475309226194,0.2619033453312291,0.26191384594902045,0.25669363865692263,0.0029640409811918633,0.002476308233426454,0.0007163375827582571,0.0001849523166404711,0.17731412878729405,No
23,F,1550,Yes,3.052478245721303e-05,0.00031772876986425614,0.00047003161310662513,0.0008049468644230652,0.22531102338532688,0.23347907236608786,0.2697871494562488,0.2697995227355053,0.7236028886742862,Yes
24,F,1200,No,0.004678229819752073,0.022524784359214813,0.02893155640652965,0.0405092292046117,0.2968359378780115,0.2845959008797245,0.19951713312225824,0.12240722830021392,0.6201751889279047,Yes
25,F,1210,No,0.004093168195024117,0.020146754993102426,0.02598180898417856,0.03658898537278221,0.29751877217669104,0.2858847014034876,0.20330267454997983,0.12648313429500227,0.6254817165239032,Yes
26,F,1220,No,0.003576913322475623,0.017997838701612482,0.02330439113643796,0.033007873076680516,0.2978400209333772,0.28682960697589777,0.20690775839081138,0.13053559743292303,0.6304680248372214,Yes
27,F,1230,No,0.003122281003621457,0.01606017786783525,0.02087953782544887,0.029744005997734514,0.2978286545487922,0.28745626959907783,0.21034161515624364,0.13456745797146338,0.6351593149675885,Yes
28,F,1240,No,0.002722644408764715,0.014316462269036176,0.018687851238082625,0.026775447997852933,0.2975125374957973,0.2877895098383581,0.21361364953716466,0.13858189718519215,0.6395801482874419,Yes
29,F,400,No,0.3051729738533127,0.2522383748030431,0.2345699219891086,0.20727675027138234,0.00036761444827921404,0.0002950898011845049,6.60170406169773e-05,1.3257762555285447e-05,0.14059304770967673,No
30,F,420,No,0.2940663002339705,0.25400554487413585,0.23812808033365476,0.21285628418447256,0.0004648699466209249,0.0003748192276772349,8.628294427205925e-05,1.781822578942381e-05,0.14448377093691478,No
31,F,440,No,0.28317247379600985,0.25561234495578977,0.24157694674014507,0.2184383821725967,0.0005874581837927008,0.00047576896895879704,0.000112693910719612,2.39312436702664e-05,0.14840816632227996,No
32,F,460,No,0.27249697950855395,0.2570545718205361,0.2449092823074804,0.2240145911066231,0.0007418691757604847,0.000603497179180559,0.00014708921307195568,3.211966154375168e-05,0.15236909015002006,No
33,F,480,No,0.26204389955639035,0.2583274418911084,0.24811710566247808,0.2295754083498674,0.0009362231987866998,0.000764990566034357,0.00019185048524225507,4.30802638880926e-05,0.15637096272551454,No
34,F,500,No,0.2518158257433465,0.25942531943341224,0.2511914037927892,0.23510996127495212,0.0011806687699866983,0.0009690217391854699,0.00025005847906921013,5.774074131610208e-05,0.16042014410516456,No
35,F,520,No,0.2418137629440034,0.260341381396483,0.25412176763864064,0.24060559513848606,0.0014878727204068513,0.0012265916076569182,0.000325693654026062,7.733487426299982e-05,0.16452539690176435,No
36,F,540,No,0.23203702139828697,0.26106720614013973,0.25689593600476274,0.24604734699435862,0.0018736210560750582,0.0015514748127037413,0.0004238920580102648,0.00010350150955619674,0.1686984555058494,No
37,F,560,No,0.2224830959370955,0.2615922714087011,0.25949922855057483,0.25141727886102716,0.002357551597029665,0.0019608886862220944,0.0005512704756714201,0.0001384144575189289,0.17295472412455798,No
38,F,580,No,0.2131475309226194,0.2619033453312291,0.26191384594902045,0.25669363865692263,0.0029640409811918633,0.002476308233426454,0.0007163375827582571,0.0001849523166404711,0.17731412878729405,No
39,F,600,No,0.20402377101123637,0.2619837534586656,0.2641180132981412,0.26184981299805604,0.0037232686950291936,0.003124450436783901,0.0009300106413484196,0.00024691943432748306,0.18180215023523313,No
