ID,Gender,Qualification,Department,Admission_Probability,Admission
1,Male,Q1,A,0.9762811184657685,Yes
2,Male,Q1,A,0.9762811184657685,Yes
3,Male,Q1,A,0.9762811184657685,Yes
4,Male,Q1,A,0.9762811184657685,Yes
5,Male,Q1,A,0.9762811184657685,Yes
6,Male,Q1,A,0.9762811184657685,Yes
7,Male,Q1,A,0.9762811184657685,Yes
8,Male,Q1,A,0.9762811184657685,Yes
9,Male,Q1,A,0.9762811184657685,Yes
10,Male,Q1,A,0.9762811184657685,Yes
11,Male,Q1,A,0.9762811184657685,Yes
12,Male,Q1,A,0.9762811184657685,Yes
13,Male,Q1,A,0.9762811184657685,Yes
14,Male,Q1,A,0.9762811184657685,Yes
15,Male,Q1,A,0.9762811184657685,Yes
16,Male,Q1,A,0.9762811184657685,Yes
17,Male,Q3,A,0.5097660843548866,Yes
18,Male,Q3,A,0.5097660843548866,Yes
19,Male,Q3,A,0.5097660843548866,Yes
20,Male,Q3,A,0.5097660843548866,Yes
21,Female,Q1,A,0.9050337983071027,Yes
22,Female,Q1,A,0.9050337983071027,Yes
23,Female,Q1,A,0.9050337983071027,Yes
24,Female,Q1,A,0.9050337983071027,Yes
25,Female,Q1,A,0.9050337983071027,Yes
26,Female,Q1,A,0.9050337983071027,Yes
27,Female,Q1,A,0.9050337983071027,Yes
28,Female,Q1,A,0.9050337983071027,Yes
29,Female,Q1,A,0.9050337983071027,Yes
30,Female,Q1,A,0.9050337983071027,Yes
31,Female,Q1,A,0.9050337983071027,Yes
32,Female,Q1,A,0.9050337983071027,Yes
33,Female,Q1,A,0.9050337983071027,Yes
34,Female,Q1,A,0.9050337983071027,Yes
35,Female,Q1,A,0.9050337983071027,Yes
36,Female,Q1,A,0.9050337983071027,Yes
37,Female,Q1,A,0.9050337983071027,Yes
38,Female,Q1,A,0.9050337983071027,Yes
39,Female,Q1,A,0.9050337983071027,Yes
40,Female,Q1,A,0.9050337983071027,Yes
41,Female,Q1,A,0.9050337983071027,Yes
42,Female,Q1,A,0.9050337983071027,Yes
43,Female,Q1,A,0.9050337983071027,Yes
44,Female,Q1,A,0.9050337983071027,Yes
45,Female,Q1,A,0.9050337983071027,Yes
46,Female,Q1,A,0.9050337983071027,Yes
47,Female,Q2,A,0.31867543413541544,No
48,Female,Q2,A,0.31867543413541544,No
49,Female,Q2,A,0.31867543413541544,No
50,Female,Q2,A,0.31867543413541544,No
51,Female,Q3,A,0.19404174733087678,No
52,Female,Q3,A,0.19404174733087678,No
53,Female,Q3,A,0.19404174733087678,No
54,Female,Q3,A,0.19404174733087678,No
55,Female,Q3,A,0.19404174733087678,No
56,Female,Q3,A,0.19404174733087678,No
57,Female,Q3,A,0.19404174733087678,No
58,Female,Q3,A,0.19404174733087678,No
59,Female,Q3,A,0.19404174733087678,No
60,Female,Q3,A,0.19404174733087678,No
61,Female,Q4,A,0.006548958690496187,No
62,Female,Q4,A,0.006548958690496187,No
63,Female,Q4,A,0.006548958690496187,No
64,Female,Q4,A,0.006548958690496187,No
65,Female,Q4,A,0.006548958690496187,No
66,Female,Q4,A,0.006548958690496187,No
67,Female,Q4,A,0.006548958690496187,No
68,Female,Q4,A,0.006548958690496187,No
69,Female,Q4,A,0.006548958690496187,No
70,Female,Q4,A,0.006548958690496187,No
71,Male,Q1,B,0.9896833347831623,Yes
72,Male,Q1,B,0.9896833347831623,Yes
73,Male,Q1,B,0.9896833347831623,Yes
74,Male,Q1,B,0.9896833347831623,Yes
75,Male,Q1,B,0.9896833347831623,Yes
76,Male,Q1,B,0.9896833347831623,Yes
77,Male,Q1,B,0.9896833347831623,Yes
78,Male,Q1,B,0.9896833347831623,Yes
79,Male,Q1,B,0.9896833347831623,Yes
80,Male,Q1,B,0.9896833347831623,Yes
81,Male,Q1,B,0.9896833347831623,Yes
82,Male,Q1,B,0.9896833347831623,Yes
83,Male,Q1,B,0.9896833347831623,Yes
84,Male,Q1,B,0.9896833347831623,Yes
85,Male,Q1,B,0.9896833347831623,Yes
86,Male,Q1,B,0.9896833347831623,Yes
87,Male,Q1,B,0.9896833347831623,Yes
88,Male,Q1,B,0.9896833347831623,Yes
89,Male,Q1,B,0.9896833347831623,Yes
90,Male,Q1,B,0.9896833347831623,Yes
91,Male,Q2,B,0.8248137006621921,Yes
92,Male,Q2,B,0.8248137006621921,Yes
93,Male,Q2,B,0.8248137006621921,Yes
94,Male,Q2,B,0.8248137006621921,Yes
95,Male,Q2,B,0.8248137006621921,Yes
96,Male,Q2,B,0.8248137006621921,Yes
97,Male,Q2,B,0.8248137006621921,Yes
98,Male,Q2,B,0.8248137006621921,Yes
99,Male,Q2,B,0.8248137006621921,Yes
100,Male,Q2,B,0.8248137006621921,Yes
101,Male,Q3,B,0.707901649484249,Yes
102,Male,Q3,B,0.707901649484249,Yes
103,Male,Q3,B,0.707901649484249,Yes
104,Male,Q3,B,0.707901649484249,Yes
105,Male,Q3,B,0.707901649484249,Yes
106,Male,Q3,B,0.707901649484249,Yes
107,Male,Q4,B,0.06222778362802793,No
108,Male,Q4,B,0.06222778362802793,No
109,Male,Q4,B,0.06222778362802793,No
110,Male,Q4,B,0.06222778362802793,No
111,Male,Q4,B,0.06222778362802793,No
112,Male,Q4,B,0.06222778362802793,No
113,Male,Q4,B,0.06222778362802793,No
114,Male,Q4,B,0.06222778362802793,No
115,Male,Q4,B,0.06222778362802793,No
116,Male,Q4,B,0.06222778362802793,No
117,Male,Q4,B,0.06222778362802793,No
118,Male,Q4,B,0.06222778362802793,No
