ID,Gender,SAT,normalized_sat,Admission,v1,v2,v3,v4,LFR_Score,Predicted_Admission
1,M,1550,0.95833333333333337,Yes,2.1775400030946906e-05,0.14014203146855653,0.330413574788952,0.5294226182895183,0.6695646497580748,Yes
2,M,1560,0.96666666666666667,Yes,1.785137838009795e-05,0.13200351771691785,0.32119233436178046,0.5467862964882428,0.6787898142051607,Yes
3,M,1570,0.97499999999999998,Yes,1.4615479878654029e-05,0.12417618450047906,0.31182301933365886,0.5639861806295847,0.6881623651300638,Yes
4,M,1580,0.98333333333333328,Yes,1.195086291405332e-05,0.11666376270476453,0.30234029640860083,0.5809839899656223,0.6976477526703868,Yes
5,M,1590,0.9916666666666667,Yes,9.759790033544255e-06,0.10946837519336479,0.29277832452612773,0.5977435404306995,0.7072119156240644,Yes
6,M,1600,1,Yes,7.960636713656708e-06,0.10259058004864337,0.2831704483601698,0.6142310108930501,0.7168215909416935,Yes
7,M,850,0.375,Yes,0.6717155881261215,0.259408321386726,0.06732243181436876,0.001553658605612178,0.26096197999233817,No
8,M,860,0.38333333333333336,Yes,0.6387822961728556,0.2834411037147345,0.07591523070821375,0.00186136934031777,0.2853024730550523,No
9,M,870,0.39166666666666666,Yes,0.6044421443542033,0.3081599391134688,0.08517898474707862,0.0022189317248052062,0.310378870838274,No
10,M,880,0.40000000000000002,Yes,0.5689888067049693,0.3333010237658756,0.0950786751238944,0.00263149434836179,0.3359325181142374,No
11,M,890,0.40833333333333333,Yes,0.5327604957181267,0.35857203980009694,0.10556333193518583,0.003104132493314519,0.3616761722934115,No
12,M,900,0.41666666666666669,Yes,0.49612812962132036,0.38366284386209965,0.11656726409802955,0.0036417623689376268,0.3873046062310373,Yes
13,M,400,0,No,0.9992076132725446,0.0007454825615778377,4.683328806155432e-05,7.077789513559875e-08,0.0007455533394729733,No
14,M,420,0.016666666666666666,No,0.998950159705942,0.0009838945173485094,6.583337034800409e-05,1.123064664391491e-07,0.0009840068238149485,No
15,M,440,0.033333333333333333,No,0.9986088441687822,0.0012984436097461815,9.253393487003379e-05,1.7818674076405513e-07,0.0012986217964869456,No
16,M,460,0.050000000000000003,No,0.9981563057696271,0.0017133622952173,0.00013004915372444,2.8268161549594925e-07,0.001713644976832796,No
17,M,480,0.066666666666666666,No,0.9975562708578499,0.0022605338733937587,0.00018274677948780198,4.483895129587891e-07,0.0022609822629067176,No
18,M,500,0.083333333333333329,No,0.9967606795158573,0.002981861578053713,0.00025674771083975326,7.110955729302381e-07,0.0029825726736266434,No
19,M,520,0.10000000000000001,No,0.995705916076594,0.003932336138811523,0.00036062026122364707,1.1274238002420326e-06,0.003933463562611765,No
20,M,540,0.11666666666666667,No,0.994307890839498,0.005183980967889521,0.000506341210536388,1.7868826453449476e-06,0.005185767850534866,No
21,M,560,0.13333333333333333,No,0.9924556710028974,0.006830879048660901,0.000710619074555742,2.8307746404706153e-06,0.006833709823301371,No
22,M,580,0.14999999999999999,No,0.990003319597189,0.008995495572317033,0.0009967029584181056,4.481773075477609e-06,0.00899997734539251,No
23,F,1550,0.95833333333333337,Yes,2.1775400030946906e-05,0.14014203146855653,0.330413574788952,0.5294226182895183,0.6695646497580748,Yes
24,F,1200,0.66666666666666663,No,0.010272191866523511,0.5121102804290606,0.4005863776678077,0.07703114998539722,0.5891414304144578,Yes
25,F,1210,0.67500000000000004,No,0.008774209823594371,0.5025969746435738,0.40573525550513784,0.08289355997743424,0.585490534621008,Yes
26,F,1220,0.68333333333333335,No,0.007487881467618478,0.49281316148151305,0.4105777102340798,0.08912124676750735,0.5819344082490204,Yes
27,F,1230,0.69166666666666665,No,0.006384357139247735,0.4827830266278842,0.41510241255013713,0.09573020363445267,0.5785132302623368,Yes
28,F,1240,0.69999999999999996,No,0.005438533066979432,0.4725285742819711,0.41929678682913685,0.10273610577465973,0.5752646800566308,Yes
29,F,400,0,No,0.9992076132725446,0.0007454825615778377,4.683328806155432e-05,7.077789513559875e-08,0.0007455533394729733,No
30,F,420,0.016666666666666666,No,0.998950159705942,0.0009838945173485094,6.583337034800409e-05,1.123064664391491e-07,0.0009840068238149485,No
31,F,440,0.033333333333333333,No,0.9986088441687822,0.0012984436097461815,9.253393487003379e-05,1.7818674076405513e-07,0.0012986217964869456,No
32,F,460,0.050000000000000003,No,0.9981563057696271,0.0017133622952173,0.00013004915372444,2.8268161549594925e-07,0.001713644976832796,No
33,F,480,0.066666666666666666,No,0.9975562708578499,0.0022605338733937587,0.00018274677948780198,4.483895129587891e-07,0.0022609822629067176,No
34,F,500,0.083333333333333329,No,0.9967606795158573,0.002981861578053713,0.00025674771083975326,7.110955729302381e-07,0.0029825726736266434,No
35,F,520,0.10000000000000001,No,0.995705916076594,0.003932336138811523,0.00036062026122364707,1.1274238002420326e-06,0.003933463562611765,No
36,F,540,0.11666666666666667,No,0.994307890839498,0.005183980967889521,0.000506341210536388,1.7868826453449476e-06,0.005185767850534866,No
37,F,560,0.13333333333333333,No,0.9924556710028974,0.006830879048660901,0.000710619074555742,2.8307746404706153e-06,0.006833709823301371,No
38,F,580,0.14999999999999999,No,0.990003319597189,0.008995495572317033,0.0009967029584181056,4.481773075477609e-06,0.00899997734539251,No
39,F,600,0.16666666666666666,No,0.9867595937430352,0.011836485385669126,0.001396830815580246,7.089957039441337e-06,0.011843575342708567,No
40,F,520,0.10000000000000001,No,0.995705916076594,0.003932336138811523,0.00036062026122364707,1.1274238002420326e-06,0.003933463562611765,No
41,F,540,0.11666666666666667,No,0.994307890839498,0.005183980967889521,0.000506341210536388,1.7868826453449476e-06,0.005185767850534866,No
42,F,560,0.13333333333333333,No,0.9924556710028974,0.006830879048660901,0.000710619074555742,2.8307746404706153e-06,0.006833709823301371,No
43,F,580,0.14999999999999999,No,0.990003319597189,0.008995495572317033,0.0009967029584181056,4.481773075477609e-06,0.00899997734539251,No
44,F,600,0.16666666666666666,No,0.9867595937430352,0.011836485385669126,0.001396830815580246,7.089957039441337e-06,0.011843575342708567,No
