Prototype,SAT,Admission_Score,Alpha
1,400.0,0.08103818289018869,10.087965059125587
2,400.0,0.03706144075578152,10.087965059125587
3,1099.021518574502,0.7379986980193117,10.087965059125587
4,1099.4728558755605,0.3811844075550288,10.087965059125587
5,1104.7238915679754,0.481927321788296,10.087965059125587
6,1106.5776610132136,0.7942854755963541,10.087965059125587
7,1106.601490677874,0.6987188412256476,10.087965059125587
8,1107.1306576967818,0.3734289630210212,10.087965059125587
9,1600.0,0.9704065684782318,10.087965059125587
10,1600.0,0.9499034081915876,10.087965059125587
