ID,Gender,SAT,Admission,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,LFR_Score,Predicted_Admission
1,M,1550,Yes,2.8613648059802713e-05,2.861365624665727e-05,0.00020344992166684866,0.0002073152079223914,0.0005236913487986608,0.001393720297618649,0.234274749656722,0.2343483584127564,0.26539416650414005,0.26359732131952923,0.7221276783012702,Yes
2,M,1560,Yes,2.4615090215080202e-05,2.4615097319264884e-05,0.000178220829340997,0.000181640433725937,0.0004631875853910285,0.0012460477293148068,0.23183576961839486,0.2319138430075394,0.2663441309143798,0.26778792966760007,0.7249291081714804,Yes
3,M,1570,Yes,2.117211090156055e-05,2.1172117064863442e-05,0.00015609677170353397,0.00015912133970333764,0.00040961226243625454,0.001113853974692203,0.22938759718576787,0.22947002195932356,0.26725720214105425,0.2720041501101521,0.7277264543506082,Yes
4,M,1580,Yes,1.8208018545718014e-05,1.820802389156722e-05,0.00013669895067694362,0.00013937347276217642,0.0003621802688749158,0.0009955375332885278,0.22693172763630867,0.22701839049062847,0.2681337625225366,0.27624591305486185,0.7305199652932349,Yes
5,M,1590,Yes,1.565662438348215e-05,1.5656629019290607e-05,0.00011969426963350144,0.00012205869854818874,0.00032019426040121946,0.0008896597367803351,0.22446954451283122,0.22456033217906252,0.26897412650791586,0.2805130765533731,0.7333097930841302,Yes
6,M,1600,Yes,1.3460818987339692e-05,1.3460823006555765e-05,0.0001047899041920998,0.0001068797069979941,0.00028303503992340443,0.0007949286327433707,0.22200233239308473,0.22209713171976558,0.2697785495293148,0.28480543140350356,0.7360960044593944,Yes
7,M,850,Yes,0.0763755399984195,0.0763755485180075,0.15266774951851744,0.1535643710317282,0.20032019368915363,0.25084012970924835,0.03453292144538801,0.03448927316090099,0.014642774680962783,0.00619149822258949,0.26439477181977006,No
8,M,860,Yes,0.07378866742819146,0.07378867584323412,0.1501949773919989,0.15110505970662996,0.19898182757983657,0.2518623450124945,0.03837915906482023,0.0383315138743619,0.01650373764102403,0.0070640364322220785,0.2712955695045165,No
9,M,870,Yes,0.07118379894168271,0.07118380723718036,0.14754334895188997,0.1484648586601453,0.19735958361448816,0.2525140744054356,0.042590595195802765,0.042538681271261924,0.01857365452902402,0.008047597167837674,0.2785115614009785,No
10,M,880,Yes,0.06856035210559815,0.06856036026634715,0.14470523641947894,0.145635990788628,0.19543547930373872,0.2527599841616713,0.04718808436939268,0.04713162962089053,0.02086953626743011,0.009153346671548353,0.28605827100625697,No
11,M,890,Yes,0.06591831485824223,0.06591832286889857,0.1416739612039137,0.14261162873355673,0.19319228351654458,0.2525644547569177,0.05219058498701364,0.052129321169123104,0.023408275167815483,0.010392852712717863,0.2939495900578643,No
12,M,900,Yes,0.06325835711421947,0.06325836495938306,0.13844414124563176,0.13938624547086262,0.19061404538191218,0.2518923010220432,0.0576143593758853,0.05754802690135174,0.026206244228625202,0.011777914274896318,0.3021971367954656,Yes
13,M,400,No,0.19606272107319728,0.19606272094106475,0.17334649547284323,0.1729173765135723,0.14749133055364966,0.11374947178488248,0.00016235655847853092,0.00016198684370822089,3.6601931529360814e-05,8.938307467942728e-06,0.09716242632093867,No
14,M,420,No,0.19025955209326553,0.19025955291399577,0.17442630285709884,0.1740589735390846,0.15129499406681496,0.11922368411166236,0.000208484994169792,0.0002080196206546965,4.833954568365348e-05,1.2096238543940163e-05,0.10188441578822416,No
15,M,440,No,0.1844897071343704,0.18448970885038474,0.17538123030252828,0.17507672960397827,0.15508037802766275,0.12486764301091961,0.00026751860677475924,0.00026693350188047204,6.379334158802587e-05,1.635760146382027e-05,0.10676714436659553,No
16,M,460,No,0.17875847062663655,0.17875847318093052,0.17620696323463786,0.17596619792340942,0.15883929865732746,0.13067909191672428,0.00034300622639723313,0.00034227145841644467,8.41234269960737e-05,2.2103330648151496e-05,0.11181330251319045,No
17,M,480,No,0.17307077779183475,0.1730707811280767,0.17689910960054692,0.17672284782366252,0.16256299678626254,0.13665481163055285,0.0004394532082016772,0.0004385316195760342,0.00011084629650993766,2.984409708625321e-05,0.11702607193295245,No
18,M,500,No,0.16743113823000058,0.16743114229261988,0.17745310240335826,0.17734196718820347,0.16624201789672788,0.14279043510905148,0.0005625726883274831,0.0005614182286421945,0.00014594216601043642,4.02637793130409e-05,0.12240933460812582,No
19,M,520,No,0.16184355095873615,0.16184355569299805,0.17786407197963536,0.17781853443789944,0.16986605143157946,0.14908020826158155,0.0007196002969909267,0.0007181559962766241,0.00019199374164019476,5.4277184875954486e-05,0.12796793581810237,No
20,M,540,No,0.1563114096827225,0.15631141503478746,0.17812668155849212,0.17814705350444285,0.17342371837828327,0.15551668019973136,0.0009196871865912241,0.0009178827003251607,0.0002523652011213724,7.310653568805121e-05,0.13370801296430493,No
21,M,560,No,0.1508373970045327,0.15083740292149592,0.17823491853650703,0.1783213441319176,0.17690229371797522,0.16209030190391246,0.001174389084312961,0.0011721377322577622,0.0003314323794239632,9.838256983212325e-05,0.13963740414662837,No
22,M,580,No,0.14542336633021277,0.14542337276012127,0.17818183277657865,0.1783342786918108,0.18028734759138806,0.16878890685964013,0.0014982720955365315,0.0014954673080368485,0.0004348777770617688,0.0001322777915846494,0.14576615264663526,No
23,F,1550,Yes,2.8613648059802713e-05,2.861365624665727e-05,0.00020344992166684866,0.0002073152079223914,0.0005236913487986608,0.001393720297618649,0.234274749656722,0.2343483584127564,0.26539416650414005,0.26359732131952923,0.7221276783012702,Yes
24,F,1200,No,0.004538882443935341,0.004538883346414402,0.0171114805350145,0.017323912667095757,0.031447435697142485,0.057407877867559444,0.2761624162432997,0.27603118578776475,0.19140027101256213,0.12403765437159531,0.5976777024340947,Yes
25,F,1210,No,0.003977543210590745,0.003977544011376448,0.015269551879092324,0.01546198064522371,0.028333780152914077,0.052283941148762066,0.2783923556207134,0.2782663419789172,0.1956735291272406,0.12836343219733018,0.603634328529026,Yes
26,F,1220,No,0.0034801099681472662,0.0034801106774651883,0.013604327730080915,0.013778322772865732,0.0254880077987332,0.047541976241542626,0.280196126530657,0.2800756136908275,0.19972558273042704,0.13262982183123395,0.6092716929640789,Yes
27,F,1230,No,0.0030404638338131355,0.003040464461104556,0.012103101980701657,0.012260167307006265,0.02289475899335972,0.04316730715538114,0.28160201755203357,0.2814872491509344,0.2035654779851262,0.13683899155237922,0.6146130073854769,Yes
28,F,1240,No,0.0026528251540695854,0.002652825708001284,0.010753212057092126,0.010894777111760907,0.020538001045756954,0.039143043907142995,0.28263849204916464,0.28252967385478234,0.20720320666645337,0.14099394241751195,0.6196814742560387,Yes
29,F,400,No,0.19606272107319728,0.19606272094106475,0.17334649547284323,0.1729173765135723,0.14749133055364966,0.11374947178488248,0.00016235655847853092,0.00016198684370822089,3.6601931529360814e-05,8.938307467942728e-06,0.09716242632093867,No
30,F,420,No,0.19025955209326553,0.19025955291399577,0.17442630285709884,0.1740589735390846,0.15129499406681496,0.11922368411166236,0.000208484994169792,0.0002080196206546965,4.833954568365348e-05,1.2096238543940163e-05,0.10188441578822416,No
31,F,440,No,0.1844897071343704,0.18448970885038474,0.17538123030252828,0.17507672960397827,0.15508037802766275,0.12486764301091961,0.00026751860677475924,0.00026693350188047204,6.379334158802587e-05,1.635760146382027e-05,0.10676714436659553,No
32,F,460,No,0.17875847062663655,0.17875847318093052,0.17620696323463786,0.17596619792340942,0.15883929865732746,0.13067909191672428,0.00034300622639723313,0.00034227145841644467,8.41234269960737e-05,2.2103330648151496e-05,0.11181330251319045,No
33,F,480,No,0.17307077779183475,0.1730707811280767,0.17689910960054692,0.17672284782366252,0.16256299678626254,0.13665481163055285,0.0004394532082016772,0.0004385316195760342,0.00011084629650993766,2.984409708625321e-05,0.11702607193295245,No
34,F,500,No,0.16743113823000058,0.16743114229261988,0.17745310240335826,0.17734196718820347,0.16624201789672788,0.14279043510905148,0.0005625726883274831,0.0005614182286421945,0.00014594216601043642,4.02637793130409e-05,0.12240933460812582,No
35,F,520,No,0.16184355095873615,0.16184355569299805,0.17786407197963536,0.17781853443789944,0.16986605143157946,0.14908020826158155,0.0007196002969909267,0.0007181559962766241,0.00019199374164019476,5.4277184875954486e-05,0.12796793581810237,No
36,F,540,No,0.1563114096827225,0.15631141503478746,0.17812668155849212,0.17814705350444285,0.17342371837828327,0.15551668019973136,0.0009196871865912241,0.0009178827003251607,0.0002523652011213724,7.310653568805121e-05,0.13370801296430493,No
37,F,560,No,0.1508373970045327,0.15083740292149592,0.17823491853650703,0.1783213441319176,0.17690229371797522,0.16209030190391246,0.001174389084312961,0.0011721377322577622,0.0003314323794239632,9.838256983212325e-05,0.13963740414662837,No
