Prototype,SAT,Admission_Score,Alpha
1,402.70237494088457,0.0,10.004790760809511
2,402.70239288789753,0.0,10.004790760809511
3,533.158861732056,0.0,10.004790760809511
4,534.4917293436333,0.0,10.004790760809511
5,602.4338535440938,0.0,10.004790760809511
6,679.9438774557445,0.8525343773648694,10.004790760809511
7,1410.6427945729552,0.8849021386636094,10.004790760809511
8,1410.8051189868738,0.0,10.004790760809511
9,1511.6708402101697,0.9421154157341831,10.004790760809511
10,1599.4663541474902,1.0,10.004790760809511
