ID,Gender,SAT,Admission,v1,v2,v3,v4,LFR_Score,Predicted_Admission
1,M,1550,Yes,1.547643475681622e-40,1.8076191401773027e-06,1.809595188832831e-06,0.9999963826856714,0.9999981934126929,Yes
2,M,1560,Yes,2.9231261584319964e-41,9.162496612237027e-07,9.172741023422689e-07,0.9999981663762367,0.9999990842012854,Yes
3,M,1570,Yes,5.521077145232257e-42,4.6443008077846707e-07,4.64960917206619e-07,0.999999070509002,0.9999995357376472,Yes
4,M,1580,Yes,1.0427972520265414e-42,2.354109506336408e-07,2.3568588450513828e-07,0.9999995288031649,0.9999997646189078,Yes
5,M,1600,Yes,3.720075525366192e-44,6.048379816070261e-08,6.055744927065576e-08,0.9999998788587525,0.9999999394465611,Yes
6,M,800,Yes,0.006078873209797678,0.4971526629521741,0.49676846378831296,2.029272430217828e-17,0.4980050626369536,No
7,M,810,Yes,0.002273771899051817,0.4990497442497486,0.49867648380129453,4.018725117177579e-17,0.4999054282434205,No
8,M,820,Yes,0.0008484596835213587,0.4997564533194081,0.4993950869470948,7.939565822654275e-17,0.5006133807439066,No
9,M,830,Yes,0.00031632010285101507,0.5000164023800346,0.4996672774671126,1.567171310362547e-16,0.5008738072424943,No
10,M,840,Yes,0.00011789009873842271,0.5001094338373818,0.4997726760138685,3.0923678350645464e-16,0.5009670299384342,Yes
11,M,850,Yes,4.3931273843648526e-05,0.5001402070503121,0.4998158616258296,6.10115065056955e-16,0.5009978876371081,Yes
12,M,860,Yes,1.637005387760859e-05,0.5001477733046267,0.49983585659147967,1.2036831962579465e-15,0.5010054985832307,Yes
13,M,870,Yes,6.099846571576613e-06,0.5001466911205703,0.49984720898284113,2.374680231235551e-15,0.5010044462605981,Yes
14,M,880,Yes,2.2729240064642083e-06,0.5001423862415976,0.4998553407843771,4.684845549451263e-15,0.5010001657165529,Yes
15,M,890,Yes,8.46934603030365e-07,0.5001368805187418,0.4998622724966323,9.242391811217254e-15,0.5009946822692618,Yes
16,M,900,Yes,3.1558361737374224e-07,0.5001309273416222,0.49986875702472905,1.8233627780340928e-14,0.5009887506003295,Yes
17,M,800,Yes,0.006078873209797678,0.4971526629521741,0.49676846378831296,2.029272430217828e-17,0.4980050626369536,No
18,M,810,Yes,0.002273771899051817,0.4990497442497486,0.49867648380129453,4.018725117177579e-17,0.4999054282434205,No
19,M,820,Yes,0.0008484596835213587,0.4997564533194081,0.4993950869470948,7.939565822654275e-17,0.5006133807439066,No
20,M,830,Yes,0.00031632010285101507,0.5000164023800346,0.4996672774671126,1.567171310362547e-16,0.5008738072424943,No
21,M,840,Yes,0.00011789009873842271,0.5001094338373818,0.4997726760138685,3.0923678350645464e-16,0.5009670299384342,Yes
22,M,850,Yes,4.3931273843648526e-05,0.5001402070503121,0.4998158616258296,6.10115065056955e-16,0.5009978876371081,Yes
23,M,860,Yes,1.637005387760859e-05,0.5001477733046267,0.49983585659147967,1.2036831962579465e-15,0.5010054985832307,Yes
24,M,870,Yes,6.099846571576613e-06,0.5001466911205703,0.49984720898284113,2.374680231235551e-15,0.5010044462605981,Yes
25,M,880,Yes,2.2729240064642083e-06,0.5001423862415976,0.4998553407843771,4.684845549451263e-15,0.5010001657165529,Yes
26,M,400,No,0.9999999998999987,5.80037908669065e-16,5.790132344697088e-16,3.720075975648824e-44,5.810309499719504e-16,No
27,M,425,No,0.9999999998999862,6.843559101335116e-15,6.831894372261488e-15,2.3994524663768136e-42,6.855276551807195e-15,No
28,M,450,No,0.9999999998998386,8.07435177485619e-14,8.061090478610356e-14,1.5476490738597784e-40,8.088177850849383e-14,No
29,M,475,No,0.9999999998980962,9.526498656423052e-13,9.511443849025632e-13,9.982350929552007e-39,9.5428128177066e-13,No
30,M,500,No,0.9999999998775373,1.1239809606974706e-11,1.1222745152348283e-11,6.4386256394891986e-37,1.1259059599363426e-11,No
31,F,1550,Yes,1.547643475681622e-40,1.8076191401773027e-06,1.809595188832831e-06,0.9999963826856714,0.9999981934126929,Yes
32,F,1560,Yes,2.9231261584319964e-41,9.162496612237027e-07,9.172741023422689e-07,0.9999981663762367,0.9999990842012854,Yes
33,F,1570,Yes,5.521077145232257e-42,4.6443008077846707e-07,4.64960917206619e-07,0.999999070509002,0.9999995357376472,Yes
34,F,1580,Yes,1.0427972520265414e-42,2.354109506336408e-07,2.3568588450513828e-07,0.9999995288031649,0.9999997646189078,Yes
35,F,1600,Yes,3.720075525366192e-44,6.048379816070261e-08,6.055744927065576e-08,0.9999998788587525,0.9999999394465611,Yes
36,F,1200,No,4.335499874945096e-20,0.4999380243639663,0.5000489881952535,1.2987390775350742e-05,0.5008094557068139,No
37,F,1210,No,1.6154667772551667e-20,0.49992548923157476,0.5000488891980154,2.5621520404921464e-05,0.5008095649100716,No
